carrierID;carrierFleetSize;vehicleType;vehicle_IdstartLinkID;startLocation;endLinkID;endLocation;startTime;endTime;tripDistance;tripDuration;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21293,0;21293,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21413,0;21413,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21533,0;21533,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;55;x=4579584,0:y=5810259,5;21653,0;21653,0;0,0;0,0;
cep0_carrier;2;cepVehicleType0;0_v1;55;x=4579584,0:y=5810259,5;21887;x=4581188,25:y=5809042,5;21833,0;22104,0;1813,0;271,0;
cep22_carrier;1;cepVehicleType0;22_v0;5624;x=4599357,0:y=5826722,75;5577;x=4598025,0:y=5828070,5;10800,0;11140,0;2270,253269785339;340,0;
cep22_carrier;1;cepVehicleType0;22_v0;5577;x=4598025,0:y=5828070,5;5777;x=4599288,25:y=5832398,0;11260,0;12052,0;5280,382344926767;792,0;
cep22_carrier;1;cepVehicleType0;22_v0;5777;x=4599288,25:y=5832398,0;5809;x=4601562,0:y=5834477,5;12172,0;12866,0;4627,285309833166;694,0;
cep22_carrier;1;cepVehicleType0;22_v0;5809;x=4601562,0:y=5834477,5;5699;x=4602187,0:y=5828025,25;12986,0;14328,0;8948,206474783701;1342,0;
cep22_carrier;1;cepVehicleType0;22_v0;5699;x=4602187,0:y=5828025,25;5641;x=4600143,5:y=5825737,5;14448,0;15151,0;4689,762815728787;703,0;
cep22_carrier;1;cepVehicleType0;22_v0;5641;x=4600143,5:y=5825737,5;5609;x=4599623,0:y=5824959,0;15271,0;15507,0;1573,7795122213897;236,0;
cep22_carrier;1;cepVehicleType0;22_v0;5609;x=4599623,0:y=5824959,0;6672;x=4598676,25:y=5824835,0;15627,0;15737,0;738,4945828501131;110,0;
cep22_carrier;1;cepVehicleType0;22_v0;6672;x=4598676,25:y=5824835,0;4567;x=4597567,25:y=5824912,5;15857,0;16054,0;1318,3046928040417;197,0;
cep22_carrier;1;cepVehicleType0;22_v0;4567;x=4597567,25:y=5824912,5;5585;x=4598796,0:y=5825007,0;16174,0;16317,0;954,0;143,0;
cep22_carrier;1;cepVehicleType0;22_v0;5585;x=4598796,0:y=5825007,0;5624;x=4599357,0:y=5826722,75;16437,0;16764,0;2186,076836893715;327,0;
cep25_carrier;1;cepVehicleType0;25_v0;6154;x=4603804,75:y=5823804,0;6165;x=4605196,0:y=5823435,5;10800,0;11152,0;2352,0068680800323;352,0;
cep25_carrier;1;cepVehicleType0;25_v0;6165;x=4605196,0:y=5823435,5;6202;x=4605850,5:y=5823671,75;11272,0;11337,0;439,0;65,0;
cep25_carrier;1;cepVehicleType0;25_v0;6202;x=4605850,5:y=5823671,75;6200;x=4606087,0:y=5824158,0;11457,0;11561,0;694,0;104,0;
